timestamp,logicalClock,event,queueLength,to
2023-03-08T18:44:11.160Z,1,process,2,
2023-03-08T18:44:12.160Z,5,process,3,
2023-03-08T18:44:13.162Z,7,process,8,
2023-03-08T18:44:14.162Z,13,process,10,
2023-03-08T18:44:15.164Z,14,process,13,
2023-03-08T18:44:16.165Z,16,process,18,
2023-03-08T18:44:17.166Z,18,process,23,
2023-03-08T18:44:18.167Z,20,process,24,
2023-03-08T18:44:19.168Z,21,process,28,
2023-03-08T18:44:20.170Z,23,process,30,
2023-03-08T18:44:21.171Z,24,process,34,
2023-03-08T18:44:22.173Z,26,process,36,
2023-03-08T18:44:23.173Z,28,process,39,
2023-03-08T18:44:24.175Z,31,process,42,
2023-03-08T18:44:25.176Z,34,process,45,
2023-03-08T18:44:26.178Z,35,process,47,
2023-03-08T18:44:27.179Z,38,process,51,
2023-03-08T18:44:28.180Z,39,process,53,
2023-03-08T18:44:29.181Z,41,process,57,
2023-03-08T18:44:30.182Z,43,process,59,
2023-03-08T18:44:31.184Z,44,process,62,
2023-03-08T18:44:32.185Z,46,process,65,
2023-03-08T18:44:33.185Z,48,process,66,
2023-03-08T18:44:34.186Z,49,process,68,
2023-03-08T18:44:35.186Z,50,process,72,
2023-03-08T18:44:36.187Z,52,process,75,
2023-03-08T18:44:37.188Z,53,process,79,
2023-03-08T18:44:38.189Z,55,process,83,
2023-03-08T18:44:39.189Z,56,process,85,
2023-03-08T18:44:40.191Z,58,process,89,
2023-03-08T18:44:41.192Z,60,process,92,
2023-03-08T18:44:42.193Z,65,process,95,
2023-03-08T18:44:43.193Z,69,process,97,
2023-03-08T18:44:44.193Z,70,process,98,
2023-03-08T18:44:45.195Z,71,process,99,
2023-03-08T18:44:46.196Z,72,process,102,
2023-03-08T18:44:47.197Z,73,process,106,
2023-03-08T18:44:48.198Z,74,process,108,
2023-03-08T18:44:49.199Z,79,process,109,
2023-03-08T18:44:50.198Z,80,process,110,
2023-03-08T18:44:51.202Z,81,process,114,
2023-03-08T18:44:52.204Z,82,process,116,
2023-03-08T18:44:53.204Z,83,process,119,
2023-03-08T18:44:54.205Z,85,process,122,
2023-03-08T18:44:55.207Z,87,process,125,
2023-03-08T18:44:56.209Z,89,process,129,
2023-03-08T18:44:57.209Z,91,process,132,
2023-03-08T18:44:58.211Z,93,process,135,
2023-03-08T18:44:59.212Z,96,process,137,
2023-03-08T18:45:00.213Z,98,process,140,
2023-03-08T18:45:01.214Z,100,process,143,
2023-03-08T18:45:02.214Z,102,process,146,
2023-03-08T18:45:03.214Z,105,process,149,
2023-03-08T18:45:04.215Z,107,process,151,
2023-03-08T18:45:05.215Z,108,process,156,
2023-03-08T18:45:06.217Z,110,process,158,
2023-03-08T18:45:07.219Z,113,process,161,
2023-03-08T18:45:08.220Z,114,process,162,
2023-03-08T18:45:09.221Z,116,process,163,
