timestamp,logicalClock,event,queueLength,to
2023-03-08T18:35:00.137Z,5,process,0,
2023-03-08T18:35:01.138Z,11,process,0,
2023-03-08T18:35:02.139Z,14,process,0,
2023-03-08T18:35:03.140Z,24,process,0,
2023-03-08T18:35:04.141Z,28,process,3,
2023-03-08T18:35:05.142Z,30,process,4,
2023-03-08T18:35:06.143Z,33,process,6,
2023-03-08T18:35:07.144Z,34,process,6,
2023-03-08T18:35:08.144Z,35,process,8,
2023-03-08T18:35:09.145Z,36,process,9,
2023-03-08T18:35:10.147Z,41,process,12,
2023-03-08T18:35:11.148Z,43,process,13,
2023-03-08T18:35:12.148Z,45,process,12,
2023-03-08T18:35:13.149Z,49,process,13,
2023-03-08T18:35:14.149Z,54,process,14,
2023-03-08T18:35:15.151Z,57,process,15,
2023-03-08T18:35:16.153Z,60,process,16,
2023-03-08T18:35:17.154Z,63,process,15,
2023-03-08T18:35:18.155Z,64,process,18,
2023-03-08T18:35:19.156Z,68,process,19,
2023-03-08T18:35:20.157Z,71,process,21,
2023-03-08T18:35:21.169Z,72,process,21,
2023-03-08T18:35:22.158Z,73,process,21,
2023-03-08T18:35:23.160Z,74,process,24,
2023-03-08T18:35:24.162Z,77,process,25,
2023-03-08T18:35:25.162Z,88,process,26,
2023-03-08T18:35:26.163Z,91,process,27,
2023-03-08T18:35:27.165Z,94,process,27,
2023-03-08T18:35:28.165Z,95,process,28,
2023-03-08T18:35:29.167Z,103,process,28,
2023-03-08T18:35:30.167Z,104,process,28,
2023-03-08T18:35:31.169Z,111,process,29,
2023-03-08T18:35:32.170Z,112,process,31,
2023-03-08T18:35:33.171Z,119,process,33,
2023-03-08T18:35:34.172Z,120,process,34,
2023-03-08T18:35:35.173Z,121,process,35,
2023-03-08T18:35:36.174Z,122,process,37,
2023-03-08T18:35:37.175Z,125,process,37,
2023-03-08T18:35:38.177Z,131,process,38,
2023-03-08T18:35:39.178Z,132,process,38,
2023-03-08T18:35:40.178Z,133,process,38,
2023-03-08T18:35:41.180Z,137,process,37,
2023-03-08T18:35:42.181Z,142,process,36,
2023-03-08T18:35:43.182Z,150,process,37,
2023-03-08T18:35:44.182Z,151,process,38,
2023-03-08T18:35:45.183Z,153,process,39,
2023-03-08T18:35:46.183Z,154,process,40,
2023-03-08T18:35:47.185Z,156,process,43,
2023-03-08T18:35:48.186Z,159,process,45,
2023-03-08T18:35:49.187Z,160,process,47,
2023-03-08T18:35:50.188Z,166,process,47,
2023-03-08T18:35:51.189Z,168,process,47,
2023-03-08T18:35:52.190Z,170,process,46,
2023-03-08T18:35:53.190Z,172,process,45,
2023-03-08T18:35:54.190Z,182,process,47,
2023-03-08T18:35:55.192Z,186,process,47,
2023-03-08T18:35:56.193Z,189,process,46,
2023-03-08T18:35:57.193Z,191,process,45,
2023-03-08T18:35:58.195Z,200,process,45,
