timestamp,logicalClock,event,queueLength,to
2023-03-08T18:34:59.304Z,1,internal,0,
2023-03-08T18:34:59.470Z,2,process,0,
2023-03-08T18:34:59.638Z,3,internal,0,
2023-03-08T18:34:59.806Z,4,internal,0,
2023-03-08T18:34:59.972Z,5,internal,0,
2023-03-08T18:35:00.139Z,6,process,0,
2023-03-08T18:35:00.305Z,7,internal,0,
2023-03-08T18:35:00.472Z,8,internal,0,
2023-03-08T18:35:00.639Z,9,process,0,
2023-03-08T18:35:00.806Z,10,internal,0,
2023-03-08T18:35:00.974Z,11,process,0,
2023-03-08T18:35:01.139Z,12,internal,0,
2023-03-08T18:35:01.307Z,14,process,0,
2023-03-08T18:35:01.475Z,15,internal,0,
2023-03-08T18:35:01.648Z,16,send,0,3002
2023-03-08T18:35:01.808Z,17,internal,0,
2023-03-08T18:35:01.976Z,18,internal,0,
2023-03-08T18:35:02.141Z,20,process,0,
2023-03-08T18:35:02.308Z,21,internal,0,
2023-03-08T18:35:02.475Z,22,internal,0,
2023-03-08T18:35:02.643Z,23,internal,0,
2023-03-08T18:35:02.814Z,24,send,0,3000
2023-03-08T18:35:02.815Z,25,send,0,3002
2023-03-08T18:35:02.977Z,26,internal,0,
2023-03-08T18:35:03.143Z,27,internal,0,
2023-03-08T18:35:03.318Z,28,send,0,3000
2023-03-08T18:35:03.319Z,29,send,0,3002
2023-03-08T18:35:03.478Z,30,internal,0,
2023-03-08T18:35:03.646Z,31,internal,0,
2023-03-08T18:35:03.812Z,32,internal,0,
2023-03-08T18:35:03.983Z,33,send,0,3000
2023-03-08T18:35:04.149Z,34,send,0,3000
2023-03-08T18:35:04.313Z,35,process,0,
2023-03-08T18:35:04.480Z,36,internal,0,
2023-03-08T18:35:04.647Z,37,send,0,3002
2023-03-08T18:35:04.814Z,38,internal,0,
2023-03-08T18:35:04.980Z,39,internal,0,
2023-03-08T18:35:05.147Z,40,internal,0,
2023-03-08T18:35:05.313Z,41,internal,0,
2023-03-08T18:35:05.480Z,42,internal,0,
2023-03-08T18:35:05.652Z,43,send,0,3000
2023-03-08T18:35:05.652Z,44,send,0,3002
2023-03-08T18:35:05.818Z,45,send,0,3000
2023-03-08T18:35:05.819Z,46,send,0,3002
2023-03-08T18:35:05.982Z,47,internal,0,
2023-03-08T18:35:06.148Z,48,internal,0,
2023-03-08T18:35:06.315Z,49,internal,0,
2023-03-08T18:35:06.482Z,50,internal,0,
2023-03-08T18:35:06.650Z,51,internal,0,
2023-03-08T18:35:06.820Z,52,send,0,3002
2023-03-08T18:35:06.984Z,53,internal,0,
2023-03-08T18:35:07.153Z,54,internal,0,
2023-03-08T18:35:07.323Z,55,send,1,3002
2023-03-08T18:35:07.487Z,56,process,0,
2023-03-08T18:35:07.661Z,57,send,0,3000
2023-03-08T18:35:07.662Z,58,send,0,3002
2023-03-08T18:35:07.822Z,59,internal,0,
2023-03-08T18:35:07.991Z,60,send,0,3000
2023-03-08T18:35:07.992Z,61,send,0,3002
2023-03-08T18:35:08.155Z,62,internal,0,
2023-03-08T18:35:08.328Z,63,send,0,3000
2023-03-08T18:35:08.489Z,64,process,0,
2023-03-08T18:35:08.657Z,65,internal,0,
2023-03-08T18:35:08.826Z,66,send,0,3002
2023-03-08T18:35:08.990Z,67,internal,0,
