timestamp,logicalClock,event,queueLength,to
2023-03-08T19:50:54.643Z,1,internal,0,
2023-03-08T19:50:54.809Z,2,internal,0,
2023-03-08T19:50:54.977Z,3,internal,0,
2023-03-08T19:50:55.145Z,4,internal,0,
2023-03-08T19:50:55.312Z,5,internal,0,
2023-03-08T19:50:55.531Z,6,send,0,3001
2023-03-08T19:50:55.646Z,7,internal,0,
2023-03-08T19:50:55.819Z,8,send,0,3000
2023-03-08T19:50:55.980Z,9,internal,0,
2023-03-08T19:50:56.147Z,10,internal,0,
2023-03-08T19:50:56.314Z,11,internal,0,
2023-03-08T19:50:56.480Z,12,internal,0,
2023-03-08T19:50:56.648Z,13,internal,0,
2023-03-08T19:50:56.815Z,14,internal,0,
2023-03-08T19:50:56.983Z,15,internal,0,
2023-03-08T19:50:57.150Z,16,internal,0,
2023-03-08T19:50:57.316Z,17,internal,0,
2023-03-08T19:50:57.484Z,18,internal,0,
2023-03-08T19:50:57.651Z,19,internal,0,
2023-03-08T19:50:57.818Z,20,internal,0,
2023-03-08T19:50:57.987Z,21,send,0,3000
2023-03-08T19:50:57.988Z,22,send,0,3001
2023-03-08T19:50:58.152Z,23,internal,0,
2023-03-08T19:50:58.319Z,24,internal,0,
2023-03-08T19:50:58.485Z,25,internal,0,
2023-03-08T19:50:58.653Z,26,internal,0,
2023-03-08T19:50:58.823Z,27,send,0,3000
2023-03-08T19:50:58.825Z,28,send,0,3001
2023-03-08T19:50:58.986Z,29,internal,0,
2023-03-08T19:50:59.156Z,30,send,0,3000
2023-03-08T19:50:59.320Z,31,internal,0,
2023-03-08T19:50:59.490Z,32,send,0,3000
2023-03-08T19:50:59.491Z,33,send,0,3001
2023-03-08T19:50:59.654Z,34,internal,0,
2023-03-08T19:50:59.821Z,35,internal,0,
2023-03-08T19:50:59.988Z,36,internal,0,
2023-03-08T19:51:00.155Z,37,internal,0,
2023-03-08T19:51:00.322Z,38,internal,0,
2023-03-08T19:51:00.489Z,39,send,0,3000
2023-03-08T19:51:00.657Z,40,send,0,3000
2023-03-08T19:51:00.823Z,41,send,0,3000
2023-03-08T19:51:00.989Z,42,internal,0,
2023-03-08T19:51:01.158Z,43,send,0,3000
2023-03-08T19:51:01.325Z,44,send,0,3000
2023-03-08T19:51:01.326Z,45,send,0,3001
2023-03-08T19:51:01.490Z,46,internal,0,
2023-03-08T19:51:01.657Z,47,internal,0,
2023-03-08T19:51:01.824Z,48,internal,0,
2023-03-08T19:51:01.995Z,49,send,0,3000
2023-03-08T19:51:02.162Z,50,send,0,3000
2023-03-08T19:51:02.328Z,51,send,0,3000
2023-03-08T19:51:02.329Z,52,send,0,3001
2023-03-08T19:51:02.492Z,53,internal,0,
2023-03-08T19:51:02.664Z,54,send,0,3000
2023-03-08T19:51:02.665Z,55,send,0,3001
2023-03-08T19:51:02.829Z,56,send,0,3000
2023-03-08T19:51:02.997Z,57,send,0,3000
2023-03-08T19:51:03.159Z,58,internal,0,
2023-03-08T19:51:03.326Z,59,internal,0,
2023-03-08T19:51:03.496Z,60,send,0,3000
2023-03-08T19:51:03.497Z,61,send,0,3001
2023-03-08T19:51:03.659Z,62,internal,0,
2023-03-08T19:51:03.832Z,63,send,0,3000
2023-03-08T19:51:03.833Z,64,send,0,3001
2023-03-08T19:51:03.993Z,65,internal,0,
2023-03-08T19:51:04.160Z,66,internal,0,
2023-03-08T19:51:04.327Z,67,internal,0,
2023-03-08T19:51:04.494Z,68,internal,0,
2023-03-08T19:51:04.661Z,69,internal,0,
2023-03-08T19:51:04.828Z,70,internal,0,
2023-03-08T19:51:04.995Z,71,internal,0,
2023-03-08T19:51:05.164Z,72,send,0,3000
2023-03-08T19:51:05.329Z,73,internal,0,
2023-03-08T19:51:05.498Z,74,send,0,3001
2023-03-08T19:51:05.665Z,75,send,0,3000
2023-03-08T19:51:05.665Z,76,send,0,3001
2023-03-08T19:51:05.830Z,77,internal,0,
2023-03-08T19:51:05.998Z,78,internal,0,
2023-03-08T19:51:06.165Z,79,internal,0,
2023-03-08T19:51:06.331Z,80,internal,0,
2023-03-08T19:51:06.498Z,81,internal,0,
2023-03-08T19:51:06.665Z,82,internal,0,
2023-03-08T19:51:06.832Z,83,internal,0,
2023-03-08T19:51:06.999Z,84,internal,0,
2023-03-08T19:51:07.166Z,85,internal,0,
2023-03-08T19:51:07.334Z,86,internal,0,
2023-03-08T19:51:07.501Z,87,internal,0,
2023-03-08T19:51:07.671Z,88,send,0,3001
2023-03-08T19:51:07.841Z,89,send,0,3000
2023-03-08T19:51:07.842Z,90,send,0,3001
2023-03-08T19:51:08.009Z,91,send,0,3001
2023-03-08T19:51:08.171Z,92,send,0,3000
2023-03-08T19:51:08.337Z,93,internal,0,
2023-03-08T19:51:08.507Z,94,send,0,3000
2023-03-08T19:51:08.508Z,95,send,0,3001
2023-03-08T19:51:08.671Z,96,internal,0,
2023-03-08T19:51:08.838Z,97,internal,0,
2023-03-08T19:51:09.005Z,98,internal,0,
2023-03-08T19:51:09.172Z,99,internal,0,
2023-03-08T19:51:09.339Z,100,internal,0,
2023-03-08T19:51:09.509Z,101,send,0,3000
2023-03-08T19:51:09.509Z,102,send,0,3001
2023-03-08T19:51:09.673Z,103,internal,0,
2023-03-08T19:51:09.843Z,104,send,0,3000
2023-03-08T19:51:10.007Z,105,internal,0,
2023-03-08T19:51:10.174Z,106,internal,0,
2023-03-08T19:51:10.342Z,107,send,0,3000
2023-03-08T19:51:10.343Z,108,send,0,3001
2023-03-08T19:51:10.508Z,109,internal,0,
2023-03-08T19:51:10.675Z,110,internal,0,
2023-03-08T19:51:10.841Z,111,internal,0,
2023-03-08T19:51:11.008Z,112,internal,0,
2023-03-08T19:51:11.175Z,113,internal,0,
2023-03-08T19:51:11.347Z,114,send,0,3000
2023-03-08T19:51:11.348Z,115,send,0,3001
2023-03-08T19:51:11.510Z,116,internal,0,
2023-03-08T19:51:11.678Z,117,send,0,3001
2023-03-08T19:51:11.844Z,118,internal,0,
2023-03-08T19:51:12.010Z,119,internal,0,
2023-03-08T19:51:12.179Z,120,send,0,3000
2023-03-08T19:51:12.346Z,121,send,0,3001
2023-03-08T19:51:12.513Z,122,send,0,3001
2023-03-08T19:51:12.681Z,123,send,0,3000
2023-03-08T19:51:12.851Z,124,send,0,3000
2023-03-08T19:51:12.852Z,125,send,0,3001
2023-03-08T19:51:13.012Z,126,internal,0,
2023-03-08T19:51:13.179Z,127,internal,0,
2023-03-08T19:51:13.346Z,128,internal,0,
2023-03-08T19:51:13.514Z,129,send,0,3000
2023-03-08T19:51:13.680Z,130,internal,0,
2023-03-08T19:51:13.847Z,131,internal,0,
2023-03-08T19:51:14.015Z,132,internal,0,
2023-03-08T19:51:14.182Z,133,internal,0,
2023-03-08T19:51:14.349Z,134,internal,0,
2023-03-08T19:51:14.515Z,135,internal,0,
2023-03-08T19:51:14.682Z,136,internal,0,
2023-03-08T19:51:14.854Z,137,send,0,3000
2023-03-08T19:51:14.855Z,138,send,0,3001
