timestamp,logicalClock,event,queueLength,to
2023-03-08T19:50:55.478Z,1,internal,0,
2023-03-08T19:50:56.479Z,6,process,0,
2023-03-08T19:50:57.487Z,7,send,0,3000
2023-03-08T19:50:58.479Z,21,process,0,
2023-03-08T19:50:59.480Z,27,process,0,
2023-03-08T19:51:00.482Z,32,process,0,
2023-03-08T19:51:01.483Z,44,process,0,
2023-03-08T19:51:02.485Z,51,process,0,
2023-03-08T19:51:03.485Z,54,process,0,
2023-03-08T19:51:04.485Z,60,process,1,
2023-03-08T19:51:05.487Z,63,process,0,
2023-03-08T19:51:06.487Z,74,process,1,
2023-03-08T19:51:07.490Z,75,process,0,
2023-03-08T19:51:08.492Z,88,process,2,
2023-03-08T19:51:09.492Z,89,process,2,
2023-03-08T19:51:10.492Z,91,process,3,
2023-03-08T19:51:11.494Z,94,process,3,
2023-03-08T19:51:12.494Z,101,process,4,
2023-03-08T19:51:13.495Z,107,process,5,
2023-03-08T19:51:14.497Z,114,process,4,
2023-03-08T19:51:15.498Z,117,process,6,
2023-03-08T19:51:16.499Z,121,process,6,
2023-03-08T19:51:17.499Z,122,process,7,
2023-03-08T19:51:18.501Z,124,process,7,
2023-03-08T19:51:19.501Z,137,process,8,
2023-03-08T19:51:20.501Z,139,process,8,
2023-03-08T19:51:21.502Z,141,process,10,
2023-03-08T19:51:22.504Z,148,process,10,
2023-03-08T19:51:23.505Z,150,process,10,
2023-03-08T19:51:24.506Z,155,process,13,
2023-03-08T19:51:25.508Z,162,process,12,
2023-03-08T19:51:26.508Z,165,process,12,
2023-03-08T19:51:27.510Z,169,process,13,
2023-03-08T19:51:28.511Z,171,process,14,
2023-03-08T19:51:29.513Z,177,process,14,
2023-03-08T19:51:30.514Z,180,process,16,
2023-03-08T19:51:31.516Z,182,process,16,
2023-03-08T19:51:32.517Z,190,process,17,
2023-03-08T19:51:33.518Z,195,process,16,
2023-03-08T19:51:34.519Z,200,process,18,
2023-03-08T19:51:35.520Z,201,process,17,
2023-03-08T19:51:36.522Z,202,process,17,
2023-03-08T19:51:37.522Z,204,process,17,
2023-03-08T19:51:38.523Z,214,process,16,
2023-03-08T19:51:39.524Z,221,process,16,
2023-03-08T19:51:40.525Z,226,process,15,
2023-03-08T19:51:41.527Z,229,process,15,
2023-03-08T19:51:42.528Z,232,process,15,
2023-03-08T19:51:43.529Z,233,process,14,
2023-03-08T19:51:44.531Z,243,process,15,
2023-03-08T19:51:45.531Z,245,process,14,
2023-03-08T19:51:46.532Z,247,process,14,
2023-03-08T19:51:47.533Z,254,process,14,
2023-03-08T19:51:48.534Z,260,process,13,
2023-03-08T19:51:49.537Z,262,process,13,
2023-03-08T19:51:50.537Z,269,process,15,
2023-03-08T19:51:51.538Z,270,process,16,
2023-03-08T19:51:52.538Z,274,process,17,
2023-03-08T19:51:53.538Z,286,process,17,
