timestamp,logicalClock,event,queueLength,to
2023-03-08T19:50:55.477Z,1,internal,0,
2023-03-08T19:50:56.478Z,8,process,0,
2023-03-08T19:50:57.478Z,9,internal,0,
2023-03-08T19:50:58.479Z,10,process,1,
2023-03-08T19:50:59.480Z,21,process,2,
2023-03-08T19:51:00.481Z,27,process,2,
2023-03-08T19:51:01.482Z,30,process,6,
2023-03-08T19:51:02.484Z,32,process,8,
2023-03-08T19:51:03.484Z,39,process,10,
2023-03-08T19:51:04.485Z,40,process,11,
2023-03-08T19:51:05.486Z,41,process,11,
2023-03-08T19:51:06.487Z,43,process,11,
2023-03-08T19:51:07.489Z,44,process,10,
2023-03-08T19:51:08.490Z,49,process,11,
2023-03-08T19:51:09.491Z,50,process,11,
2023-03-08T19:51:10.491Z,51,process,13,
2023-03-08T19:51:11.493Z,54,process,13,
2023-03-08T19:51:12.493Z,56,process,13,
2023-03-08T19:51:13.495Z,57,process,14,
2023-03-08T19:51:14.496Z,60,process,14,
2023-03-08T19:51:15.497Z,63,process,15,
2023-03-08T19:51:16.498Z,72,process,15,
2023-03-08T19:51:17.498Z,75,process,15,
2023-03-08T19:51:18.500Z,89,process,14,
2023-03-08T19:51:19.501Z,92,process,15,
2023-03-08T19:51:20.501Z,94,process,15,
2023-03-08T19:51:21.502Z,101,process,18,
2023-03-08T19:51:22.504Z,104,process,19,
2023-03-08T19:51:23.504Z,107,process,20,
2023-03-08T19:51:24.505Z,114,process,21,
2023-03-08T19:51:25.507Z,120,process,22,
2023-03-08T19:51:26.508Z,123,process,22,
2023-03-08T19:51:27.509Z,124,process,22,
2023-03-08T19:51:28.510Z,129,process,22,
2023-03-08T19:51:29.512Z,137,process,22,
2023-03-08T19:51:30.513Z,141,process,24,
2023-03-08T19:51:31.515Z,148,process,25,
2023-03-08T19:51:32.517Z,155,process,27,
2023-03-08T19:51:33.517Z,163,process,28,
2023-03-08T19:51:34.519Z,165,process,30,
2023-03-08T19:51:35.520Z,175,process,30,
2023-03-08T19:51:36.520Z,176,process,29,
2023-03-08T19:51:37.522Z,177,process,30,
2023-03-08T19:51:38.522Z,180,process,29,
2023-03-08T19:51:39.524Z,182,process,29,
2023-03-08T19:51:40.525Z,188,process,29,
2023-03-08T19:51:41.527Z,190,process,29,
2023-03-08T19:51:42.528Z,193,process,29,
2023-03-08T19:51:43.528Z,195,process,29,
2023-03-08T19:51:44.530Z,202,process,30,
2023-03-08T19:51:45.531Z,204,process,29,
2023-03-08T19:51:46.531Z,208,process,29,
2023-03-08T19:51:47.532Z,212,process,28,
2023-03-08T19:51:48.533Z,214,process,28,
2023-03-08T19:51:49.535Z,221,process,28,
2023-03-08T19:51:50.535Z,230,process,28,
2023-03-08T19:51:51.536Z,233,process,28,
2023-03-08T19:51:52.537Z,243,process,27,
2023-03-08T19:51:53.538Z,245,process,26,
