timestamp,logicalClock,event,queueLength,to
2023-03-08T18:42:13.910Z,1,process,0,
2023-03-08T18:42:14.243Z,2,internal,0,
2023-03-08T18:42:14.580Z,3,internal,0,
2023-03-08T18:42:14.934Z,4,send,1,3000
2023-03-08T18:42:14.943Z,5,send,1,3002
2023-03-08T18:42:15.249Z,9,process,0,
2023-03-08T18:42:15.582Z,10,internal,0,
2023-03-08T18:42:15.916Z,11,internal,0,
2023-03-08T18:42:16.257Z,12,send,0,3002
2023-03-08T18:42:16.583Z,13,internal,0,
2023-03-08T18:42:16.918Z,21,process,0,
2023-03-08T18:42:17.252Z,23,process,0,
2023-03-08T18:42:17.585Z,24,internal,0,
2023-03-08T18:42:17.920Z,29,process,0,
2023-03-08T18:42:18.262Z,30,send,0,3000
2023-03-08T18:42:18.265Z,31,send,0,3002
2023-03-08T18:42:18.595Z,32,send,0,3000
2023-03-08T18:42:18.597Z,33,send,0,3002
2023-03-08T18:42:18.922Z,34,internal,0,
2023-03-08T18:42:19.262Z,35,send,0,3002
2023-03-08T18:42:19.591Z,36,internal,0,
2023-03-08T18:42:19.924Z,40,process,0,
2023-03-08T18:42:20.259Z,44,process,0,
2023-03-08T18:42:20.591Z,45,internal,0,
2023-03-08T18:42:20.926Z,48,process,0,
2023-03-08T18:42:21.260Z,49,internal,0,
2023-03-08T18:42:21.601Z,50,send,0,3000
2023-03-08T18:42:21.603Z,51,send,0,3002
2023-03-08T18:42:21.935Z,52,send,0,3002
2023-03-08T18:42:22.262Z,53,internal,0,
2023-03-08T18:42:22.600Z,54,send,0,3000
2023-03-08T18:42:22.602Z,55,send,0,3002
2023-03-08T18:42:22.930Z,56,internal,0,
2023-03-08T18:42:23.268Z,57,send,0,3002
2023-03-08T18:42:23.598Z,58,internal,0,
2023-03-08T18:42:23.931Z,59,internal,0,
2023-03-08T18:42:24.266Z,60,internal,0,
2023-03-08T18:42:24.601Z,70,process,1,
2023-03-08T18:42:24.935Z,72,process,0,
2023-03-08T18:42:25.268Z,73,internal,0,
2023-03-08T18:42:25.601Z,74,internal,0,
2023-03-08T18:42:25.936Z,75,internal,0,
2023-03-08T18:42:26.270Z,76,internal,0,
2023-03-08T18:42:26.605Z,83,process,0,
2023-03-08T18:42:26.939Z,85,process,0,
2023-03-08T18:42:27.273Z,86,internal,0,
2023-03-08T18:42:27.607Z,87,internal,0,
2023-03-08T18:42:27.941Z,92,process,0,
2023-03-08T18:42:28.274Z,95,process,0,
2023-03-08T18:42:28.615Z,96,send,0,3002
2023-03-08T18:42:28.941Z,97,internal,0,
2023-03-08T18:42:29.275Z,98,internal,0,
2023-03-08T18:42:29.614Z,99,send,0,3000
2023-03-08T18:42:29.944Z,106,process,0,
2023-03-08T18:42:30.278Z,107,process,1,
2023-03-08T18:42:30.612Z,109,process,1,
2023-03-08T18:42:30.946Z,110,process,0,
2023-03-08T18:42:31.280Z,115,process,0,
2023-03-08T18:42:31.614Z,116,internal,0,
2023-03-08T18:42:31.948Z,121,process,0,
2023-03-08T18:42:32.284Z,122,send,0,3000
2023-03-08T18:42:32.616Z,125,process,1,
2023-03-08T18:42:32.950Z,126,process,0,
2023-03-08T18:42:33.283Z,130,process,0,
2023-03-08T18:42:33.617Z,133,process,0,
2023-03-08T18:42:33.960Z,134,send,0,3000
2023-03-08T18:42:33.964Z,135,send,0,3002
2023-03-08T18:42:34.285Z,136,internal,0,
2023-03-08T18:42:34.619Z,141,process,0,
2023-03-08T18:42:34.954Z,142,internal,0,
2023-03-08T18:42:35.287Z,143,internal,0,
2023-03-08T18:42:35.621Z,147,process,0,
2023-03-08T18:42:35.955Z,150,process,0,
2023-03-08T18:42:36.292Z,151,send,0,3002
2023-03-08T18:42:36.622Z,152,internal,0,
2023-03-08T18:42:36.957Z,156,process,0,
2023-03-08T18:42:37.291Z,159,process,0,
2023-03-08T18:42:37.625Z,160,process,1,
2023-03-08T18:42:37.959Z,162,process,1,
2023-03-08T18:42:38.293Z,164,process,2,
2023-03-08T18:42:38.627Z,167,process,1,
2023-03-08T18:42:38.961Z,169,process,0,
2023-03-08T18:42:39.294Z,170,internal,0,
2023-03-08T18:42:39.629Z,171,internal,0,
2023-03-08T18:42:39.963Z,180,process,0,
2023-03-08T18:42:40.298Z,181,send,0,3000
2023-03-08T18:42:40.630Z,182,internal,0,
2023-03-08T18:42:40.964Z,187,process,0,
2023-03-08T18:42:41.297Z,189,process,0,
2023-03-08T18:42:41.631Z,191,process,0,
2023-03-08T18:42:41.965Z,192,internal,0,
2023-03-08T18:42:42.299Z,193,internal,0,
2023-03-08T18:42:42.633Z,194,internal,0,
2023-03-08T18:42:42.967Z,195,internal,0,
2023-03-08T18:42:43.301Z,196,internal,0,
2023-03-08T18:42:43.634Z,203,process,1,
