timestamp,logicalClock,event,queueLength,to
2023-03-08T18:42:14.579Z,1,process,1,
2023-03-08T18:42:15.577Z,5,process,3,
2023-03-08T18:42:16.579Z,8,process,2,
2023-03-08T18:42:17.581Z,9,process,3,
2023-03-08T18:42:18.582Z,10,process,3,
2023-03-08T18:42:19.583Z,21,process,3,
2023-03-08T18:42:20.584Z,23,process,4,
2023-03-08T18:42:21.586Z,30,process,4,
2023-03-08T18:42:22.587Z,32,process,5,
2023-03-08T18:42:23.588Z,40,process,6,
2023-03-08T18:42:24.589Z,42,process,6,
2023-03-08T18:42:25.591Z,48,process,5,
2023-03-08T18:42:26.590Z,50,process,4,
2023-03-08T18:42:27.591Z,57,process,4,
2023-03-08T18:42:28.591Z,58,process,4,
2023-03-08T18:42:29.593Z,62,process,3,
2023-03-08T18:42:30.594Z,70,process,5,
2023-03-08T18:42:31.596Z,85,process,5,
2023-03-08T18:42:32.596Z,92,process,7,
2023-03-08T18:42:33.596Z,99,process,8,
2023-03-08T18:42:34.597Z,107,process,8,
2023-03-08T18:42:35.598Z,110,process,8,
2023-03-08T18:42:36.599Z,115,process,9,
2023-03-08T18:42:37.599Z,121,process,11,
2023-03-08T18:42:38.600Z,122,process,13,
2023-03-08T18:42:39.600Z,126,process,13,
2023-03-08T18:42:40.601Z,130,process,15,
2023-03-08T18:42:41.602Z,133,process,15,
2023-03-08T18:42:42.603Z,134,process,15,
2023-03-08T18:42:43.603Z,147,process,16,
2023-03-08T18:42:44.603Z,150,process,16,
2023-03-08T18:42:45.604Z,152,process,17,
2023-03-08T18:42:46.609Z,158,process,19,
2023-03-08T18:42:47.610Z,160,process,19,
2023-03-08T18:42:48.610Z,162,process,19,
2023-03-08T18:42:49.611Z,164,process,20,
2023-03-08T18:42:50.612Z,167,process,21,
2023-03-08T18:42:51.613Z,169,process,21,
2023-03-08T18:42:52.614Z,175,process,21,
2023-03-08T18:42:53.615Z,180,process,21,
2023-03-08T18:42:54.616Z,181,process,21,
2023-03-08T18:42:55.617Z,185,process,23,
2023-03-08T18:42:56.618Z,189,process,23,
2023-03-08T18:42:57.619Z,195,process,24,
2023-03-08T18:42:58.620Z,202,process,24,
2023-03-08T18:42:59.621Z,203,process,24,
2023-03-08T18:43:00.622Z,207,process,25,
2023-03-08T18:43:01.623Z,212,process,24,
2023-03-08T18:43:02.624Z,217,process,24,
2023-03-08T18:43:03.625Z,219,process,23,
2023-03-08T18:43:04.627Z,221,process,24,
2023-03-08T18:43:05.629Z,225,process,23,
2023-03-08T18:43:06.630Z,229,process,24,
2023-03-08T18:43:07.631Z,236,process,25,
2023-03-08T18:43:08.631Z,237,process,26,
2023-03-08T18:43:09.632Z,244,process,26,
2023-03-08T18:43:10.633Z,250,process,27,
2023-03-08T18:43:11.634Z,251,process,27,
2023-03-08T18:43:12.635Z,255,process,27,
